Code	Description	PCT_ONTIME_DEP
ABE	Allentown/Bethlehem/Easton, PA: Lehigh Valley International	82.80
ABI	Abilene, TX: Abilene Regional	83.31
ABQ	Albuquerque, NM: Albuquerque International Sunport	81.63
ABR	Aberdeen, SD: Aberdeen Regional	83.68
ABY	Albany, GA: Southwest Georgia Regional	81.08
ACK	Nantucket, MA: Nantucket Memorial	75.64
ACT	Waco, TX: Waco Regional	77.93
ACV	Arcata/Eureka, CA: California Redwood Coast Humboldt County	77.81
ACY	Atlantic City, NJ: Atlantic City International	79.91
ADK	Adak Island, AK: Adak	73.96
ADQ	Kodiak, AK: Kodiak Airport	83.31
AEX	Alexandria, LA: Alexandria International	81.54
AGS	Augusta, GA: Augusta Regional at Bush Field	78.45
AKN	King Salmon, AK: King Salmon Airport	85.96
ALB	Albany, NY: Albany International	80.40
ALW	Walla Walla, WA: Walla Walla Regional	87.68
AMA	Amarillo, TX: Rick Husband Amarillo International	82.25
ANC	Anchorage, AK: Ted Stevens Anchorage International	82.35
APN	Alpena, MI: Alpena County Regional	81.22
ASE	Aspen, CO: Aspen Pitkin County Sardy Field	65.72
ATL	Atlanta, GA: Hartsfield-Jackson Atlanta International	79.67
ATW	Appleton, WI: Appleton International	81.77
AUS	Austin, TX: Austin - Bergstrom International	76.50
AVL	Asheville, NC: Asheville Regional	74.65
AVP	Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International	78.00
AZA	Phoenix, AZ: Phoenix - Mesa Gateway	86.48
AZO	Kalamazoo, MI: Kalamazoo/Battle Creek International	84.13
BDL	Hartford, CT: Bradley International	79.54
BET	Bethel, AK: Bethel Airport	74.47
BFF	Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field	85.02
BFL	Bakersfield, CA: Meadows Field	86.28
BGM	Binghamton, NY: Greater Binghamton/Edwin A. Link Field	87.50
BGR	Bangor, ME: Bangor International	80.66
BHM	Birmingham, AL: Birmingham-Shuttlesworth International	81.22
BIH	Bishop, CA: Bishop Airport	64.73
BIL	Billings, MT: Billings Logan International	86.10
BIS	Bismarck/Mandan, ND: Bismarck Municipal	83.32
